Actual,Predicted
29.10206571,[42.720745]
37.72371374,[53.717358]
46.30597344,[63.545643]
54.85235886,[68.04114]
56.62552062,[65.70059]
58.36924525,[73.71814]
60.0864704,[70.17207]
61.77995584,[71.57106]
63.99136847,[70.77967]
66.1840545,[78.108086]
68.36028042,[74.38856]
70.52216120000001,[75.58873]
71.42482968,[73.36679]
72.3169529,[79.57917]
73.20022769,[80.5578]
74.07622309,[82.502205]
74.94638596,[83.84616]
75.81204639,[84.87405]
76.67442293,[77.141106]
77.53462772,[78.1575]
78.06032948,[81.938255]
78.58578435,[87.96782]
79.11181459999999,[89.32586]
79.63915516,[91.21309]
80.16845805,[92.84447]
80.70029674,[93.72103]
81.23517027,[94.58211]
81.77350729999999,[93.95272]
82.31567006,[95.94643]
82.86195812,[94.60116]
83.41261208,[84.62537]
83.96781717,[85.820335]
84.43206697,[84.13225]
84.90108576,[89.89678]
85.37491275,[90.4572]
85.85354489,[92.09963]
86.33693981,[91.47914]
86.82501875,[94.06071]
87.3176694,[94.5912]
87.81474849,[95.12829]
88.31608449,[95.97907]
88.82148004,[95.46048]
89.33071439,[95.535324]
89.84354565,[96.29085]
90.3597131,[97.052315]
90.87893921,[97.288086]
91.40093175,[86.88014]
91.92538572,[97.46089]
92.45198521,[98.14665]
92.98040518,[98.3516]
93.51031314,[98.97542]
94.04137091,[99.67254]
94.57323595,[99.746284]
95.10556296,[99.99855]
95.63800534,[100.78309]
96.17021635,[101.00712]
96.70185045,[101.10871]
97.23256457,[88.56583]
97.76201907,[101.65726]
98.28987884,[102.07749]
98.81581444,[102.51474]
99.33950279,[103.423134]
99.86062827,[103.47751]
100.3788833,[103.91468]
100.799267,[93.94198]
101.2161926,[99.38494]
101.62938129999999,[100.43902]
102.0385652,[101.775024]
102.4434876,[102.035995]
102.84390390000002,[102.71857]
103.2395815,[103.01818]
103.63030090000001,[103.74363]
104.0158552,[104.231705]
104.396051,[104.835]
104.7707085,[105.14613]
105.13966200000002,[96.64526]
105.5027592,[105.57662]
105.85986240000001,[103.99295]
106.21084809999999,[106.520164]
106.55560679999999,[106.96291]
106.8940438,[107.25423]
107.22607830000001,[105.57112]
107.55164409999999,[107.94698]
107.8706892,[106.9554]
108.1831756,[109.00249]
108.48907949999999,[107.91712]
108.78839099999999,[98.0743]
109.08111370000002,[108.263176]
109.36726499999999,[110.50334]
109.6468755,[111.04829]
109.9199887,[109.47315]
110.18666100000002,[110.016495]
110.4469615,[113.26168]
110.70097109999999,[114.33501]
110.94878290000001,[113.37817]
111.1905014,[113.78666]
111.35809909999999,[101.381966]
111.5198456,[106.932884]
111.67587820000001,[107.61683]
111.8263436,[108.72187]
111.9713985,[109.61757]
112.1112087,[110.16363]
112.2459489,[110.77071]
112.3782155,[111.29046]
112.5104821,[111.47916]
112.6427487,[112.138626]
112.77501529999999,[112.38055]
112.90728190000002,[104.38235]
113.03954850000001,[112.89803]
113.17181509999999,[113.44047]
113.3040817,[114.26265]
113.4363483,[114.38608]
113.5686149,[115.12198]
113.70088159999999,[115.546875]
113.83314820000001,[116.21707]
113.9654148,[116.545456]
114.0976814,[117.36097]
114.229948,[117.57756]
114.3622146,[105.61255]
114.4944812,[118.55469]
114.62674779999999,[118.36601]
114.75901440000001,[119.68667]
114.891281,[119.869514]
115.0235477,[119.709206]
115.15581429999999,[119.57677]
115.28808090000001,[119.50671]
115.4203475,[118.944824]
115.55261409999999,[119.27097]
115.6475159,[115.225784]
115.74241770000002,[119.17988]
115.8373195,[119.429146]
115.93222140000002,[120.11647]
116.0271232,[120.73651]
116.122025,[121.316536]
116.2169268,[121.68089]
116.31182859999998,[122.21173]
116.4067305,[122.77424]
116.50163229999998,[121.88346]
116.5965341,[121.78133]
116.69143590000002,[117.56336]
116.7863377,[121.68601]
116.8812396,[121.5216]
116.97614140000002,[121.52637]
117.0710432,[121.55564]
117.165945,[121.38318]
117.26084679999998,[121.33133]
117.3557486,[121.20506]
117.4506505,[120.35266]
117.54555230000001,[120.30303]
117.6404541,[118.39651]
117.73535600000001,[119.52442]
117.8302578,[118.44776]
117.92515959999999,[118.6962]
118.0200614,[118.37816]
118.1149632,[118.004524]
118.209865,[118.41818]
118.30476680000001,[119.30048]
118.39966869999999,[120.588104]
118.49457050000001,[121.59365]
118.5894723,[123.04566]
118.7430791,[120.483444]
118.89668590000002,[131.10088]
119.05029280000001,[130.0259]
119.2038996,[129.93155]
119.3575064,[128.47815]
119.5111132,[128.99669]
119.66471999999999,[128.64508]
119.8183269,[128.2756]
119.97193370000001,[128.8715]
120.1255405,[128.8211]
120.34109540000001,[128.7343]
120.6199926,[127.28302]
120.90316990000001,[129.26701]
121.19050159999998,[128.69333]
121.48185420000001,[129.65393]
121.77708729999999,[129.58336]
122.0760531,[130.42506]
122.3785971,[130.02704]
122.6845585,[129.95557]
122.9937702,[129.75325]
123.30605940000001,[130.34645]
123.6212477,[129.90376]
123.9391517,[129.43585]
124.259583,[130.3182]
124.582349,[130.56012]
124.90725330000001,[130.9999]
125.23409540000002,[131.23482]
125.5626719,[131.94131]
125.89277659999998,[132.19724]
126.2242007,[134.26332]
126.55673390000001,[134.67426]
126.89016399999998,[135.26747]
127.5350476,[138.60425]
128.1804012,[142.20773]
128.8260108,[140.54033]
129.4716627,[141.28152]
130.1171441,[141.83989]
130.7622433,[142.84029]
131.4067503,[142.88423]
132.0504575,[143.30946]
132.6931595,[143.59694]
133.3346546,[143.63098]
133.97474409999998,[143.49902]
134.613234,[139.93892]
135.2499343,[144.07635]
135.8846604,[143.9161]
136.5172331,[144.03488]
137.14747930000001,[144.24583]
137.77523200000002,[144.68736]
138.4003314,[144.7464]
139.0226251,[145.5087]
139.64196830000003,[145.14621]
140.2582245,[145.86848]
140.871266,[146.37961]
141.4809741,[140.7094]
142.0872396,[147.70728]
142.68996330000002,[147.93375]
143.2890561,[148.79462]
143.8844398,[149.31905]
144.47604730000003,[150.31718]
145.06382250000001,[150.749]
145.64772130000003,[152.57701]
146.2277117,[151.81998]
146.8037739,[152.04395]
147.7231425,[154.09406]
148.6385812,[160.85904]
149.55010890000003,[162.2138]
150.4577574,[162.76495]
151.36157230000003,[163.85976]
152.26161269999997,[164.10706]
153.1579516,[164.60764]
154.05067580000002,[164.8365]
154.9398859,[166.26427]
155.82569669999998,[167.12933]
156.7082371,[167.93254]
157.5876498,[157.17451]
158.4640915,[167.81262]
159.3377331,[169.03491]
160.20875880000003,[170.34862]
161.0773667,[171.93216]
161.9437682,[170.93008]
162.808188,[171.6495]
163.6708636,[171.39139]
164.53204499999998,[172.21997]
165.3919945,[173.67953]
166.25098630000002,[159.03915]
167.1093059,[171.45116]
167.9672494,[172.74112]
168.8251236,[172.36755]
169.6832447,[173.5308]
170.5419378,[173.06383]
171.40153669999998,[173.0385]
172.2623823,[172.7067]
173.12482250000002,[172.17442]
173.9892108,[173.08215]
174.8559057,[175.09604]
175.4924136,[172.37964]
176.1319554,[175.6913]
176.7748977,[177.79633]
177.42160769999998,[179.89697]
178.0724516,[181.94275]
178.72779330000003,[184.0296]
179.3879931,[185.97536]
180.05340619999998,[186.34576]
180.724381,[187.96985]
181.40125780000002,[189.36067]
182.08436640000002,[188.23085]
182.7740249,[173.09138]
183.4705376,[188.44206]
184.1741929,[188.58278]
184.88526159999998,[190.51317]
185.6039941,[190.81938]
186.3306187,[192.28566]
187.0653393,[192.74516]
187.8083325,[194.71552]
188.55974540000003,[196.22604]
189.3196931,[196.59946]
190.0882554,[197.33583]
190.8654747,[173.76578]
191.6513525,[197.62953]
192.4458466,[198.4984]
193.24886809999998,[168.13536]
194.06027780000002,[168.71317]
194.8798829,[169.80756]
195.7074339,[170.14294]
196.5426204,[171.70125]
197.385068,[172.82579]
198.23433380000003,[173.30821]
198.9538561,[167.00407]
199.6790907,[168.27238]
200.40936619999997,[168.16803]
201.1439264,[169.1497]
201.8819257,[169.2886]
202.6224249,[170.58278]
203.36438590000003,[171.23372]
204.10666730000003,[170.88893]
204.84801930000003,[169.61343]
205.58707819999998,[168.8424]
206.3223613,[167.86836]
207.0522618,[167.87735]
207.77504240000002,[167.09554]
208.48883030000002,[166.01405]
209.19161069999998,[165.90761]
209.88122140000002,[167.04117]
210.5553457,[167.1583]
211.2115068,[166.35103]
211.8470607,[166.46336]
212.4591899,[165.64282]
213.04489619999998,[166.07195]
213.60099359999998,[164.40533]
214.12410150000002,[168.98685]
214.6106366,[163.69641]
215.0568061,[163.0319]
215.4995219,[163.95422]
215.94223760000003,[164.7995]
